asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
1,97,1099921717072,776005,,1,95,57,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
2,97,1099926082957,784220,,2,95,57,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
3,96.2105,1099921717142,776003,,3,93.6842,56.2105,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
4,95.6888,1099921716986,776007,,4,92.8146,55.6888,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
5,95.6888,1099921717301,776055,,5,92.8146,55.6888,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
6,94.6316,1099921717149,776002,,6,91.0526,54.6316,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
7,94.1235,1099921715639,776000,,7,90.2059,54.1235,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
8,94.1235,1099921717183,776001,,8,90.2059,54.1235,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
9,92.5446,1099921728422,776103,,11,87.5743,52.5446,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
10,92.5446,1099921728425,776102,,10,87.5743,52.5446,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
11,92.5446,1099921728454,776101,,9,87.5743,52.5446,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
12,84.2105,1099921728466,776100,,12,73.6842,44.2105,1,1,20,ok,1,1,20,ok,1,1,Legendary,false,false,false
13,79.659,1099925486770,783747,wdluo.wam,13,66.0984,39.659,1,1,20,ok,1,1,20,ok,7,7,Ultra Rare,false,false,false
14,79.659,1099925495488,783757,b1nbs.wam,15,66.0984,39.659,1,1,20,ok,1,1,20,ok,7,7,Rare,false,false,false
15,79.659,1099925495566,783755,.w4rg.wam,14,66.0984,39.659,1,1,20,ok,1,1,20,ok,7,7,Ultra Rare,false,false,false
16,76.7688,1099925495569,783764,bsyru.wam,18,61.2814,36.7688,1,1,20,ok,1,1,20,ok,8,8,Uncommon,false,false,false
17,76.7688,1099925495819,783760,olrqy.wam,17,61.2814,36.7688,1,1,20,ok,1,1,20,ok,8,8,Uncommon,false,false,false
18,76.7688,1099925495829,783759,.w4rg.wam,16,61.2814,36.7688,1,1,20,ok,1,1,20,ok,8,8,Rare,false,false,false
19,73.8788,1099926110079,784344,wdluo.wam,19,56.4646,33.8788,1,1,20,ok,1,1,20,ok,9,9,Uncommon,false,false,false
20,72.9924,1099925499092,783755,q4oia.wam,14,66.0984,39.659,2,0.833333,16.6667,ok,2,0.833333,16.6667,ok,7,7,Ultra Rare,false,false,false
21,72.9924,1099925499367,783757,q4oia.wam,15,66.0984,39.659,2,0.833333,16.6667,ok,2,0.833333,16.6667,ok,7,7,Rare,false,false,false
22,72.9924,1099925499470,783747,i5d52.c.wam,13,66.0984,39.659,2,0.833333,16.6667,ok,2,0.833333,16.6667,ok,7,7,Ultra Rare,false,false,false
23,71.0546,1099925497598,783760,kvkb4.wam,17,61.2814,36.7688,2,0.857143,17.1429,ok,2,0.857143,17.1429,ok,8,8,Uncommon,false,false,false
24,71.0546,1099925499084,783759,i5d52.c.wam,16,61.2814,36.7688,2,0.857143,17.1429,ok,2,0.857143,17.1429,ok,8,8,Rare,false,false,false
25,71.0546,1099925502395,783764,i5d52.c.wam,18,61.2814,36.7688,2,0.857143,17.1429,ok,2,0.857143,17.1429,ok,8,8,Uncommon,false,false,false
26,70.9886,1099926111708,784340,bsyru.wam,20,51.6476,30.9886,1,1,20,ok,1,1,20,ok,10,10,Uncommon,false,false,false
27,68.8788,1099926151064,784344,bullishasfuk,19,56.4646,33.8788,2,0.875,17.5,ok,2,0.875,17.5,ok,9,9,Uncommon,false,false,false
28,68.0984,1099921695290,775997,,21,46.8306,28.0984,1,1,20,ok,1,1,20,ok,11,11,Uncommon,false,false,false
29,68.0984,1099926102350,784332,fs1r2.wam,22,46.8306,28.0984,1,1,20,ok,1,1,20,ok,11,11,Common,false,false,false
30,66.5442,1099926115776,784340,nsdbk.wam,20,51.6476,30.9886,2,0.888889,17.7778,ok,2,0.888889,17.7778,ok,10,10,Uncommon,false,false,false
31,66.3256,1099925517886,783757,opxp4.c.wam,15,66.0984,39.659,3,0.666667,13.3333,ok,3,0.666667,13.3333,ok,7,7,Rare,false,false,false
32,66.3256,1099925517969,783755,opxp4.c.wam,14,66.0984,39.659,3,0.666667,13.3333,ok,3,0.666667,13.3333,ok,7,7,Ultra Rare,false,false,false
33,66.3256,1099925531607,783747,sanbw.wam,13,66.0984,39.659,3,0.666667,13.3333,ok,3,0.666667,13.3333,ok,7,7,Ultra Rare,false,false,false
34,65.3402,1099925499111,783760,bullishasfuk,17,61.2814,36.7688,3,0.714286,14.2857,ok,3,0.714286,14.2857,ok,8,8,Uncommon,false,false,false
35,65.3402,1099925505489,783764,sanbw.wam,18,61.2814,36.7688,3,0.714286,14.2857,ok,3,0.714286,14.2857,ok,8,8,Uncommon,false,false,false
36,65.3402,1099925511892,783759,kvkb4.wam,16,61.2814,36.7688,3,0.714286,14.2857,ok,3,0.714286,14.2857,ok,8,8,Rare,false,false,false
37,65.2082,1099925374296,783470,wdluo.wam,24,42.0137,25.2082,1,1,20,ok,1,1,20,ok,12,12,Common,false,false,false
38,65.2082,1099925374315,783468,wdluo.wam,23,42.0137,25.2082,1,1,20,ok,1,1,20,ok,12,12,Common,false,false,false
39,64.0984,1099921695291,775997,,21,46.8306,28.0984,2,0.9,18,ok,2,0.9,18,ok,11,11,Uncommon,false,false,false
40,64.0984,1099926115808,784332,nsdbk.wam,22,46.8306,28.0984,2,0.9,18,ok,2,0.9,18,ok,11,11,Common,false,false,false
41,63.8788,1099926225747,784344,5uzr.wam,19,56.4646,33.8788,3,0.75,15,ok,3,0.75,15,ok,9,9,Uncommon,false,false,false
42,63.6842,1099921696300,775999,,25,39.4737,23.6842,1,1,20,ok,1,1,20,ok,10,10,Common,false,false,false
43,62.0998,1099926116535,784340,fs1r2.wam,20,51.6476,30.9886,3,0.777778,15.5556,ok,3,0.777778,15.5556,ok,10,10,Uncommon,false,false,false
44,61.5718,1099925383699,783468,bullishasfuk,23,42.0137,25.2082,2,0.909091,18.1818,ok,2,0.909091,18.1818,ok,12,12,Common,false,false,false
45,61.5718,1099925386835,783470,kvkb4.wam,24,42.0137,25.2082,2,0.909091,18.1818,ok,2,0.909091,18.1818,ok,12,12,Common,false,false,false
46,60.0984,1099921695292,775997,,21,46.8306,28.0984,3,0.8,16,ok,3,0.8,16,ok,11,11,Uncommon,false,false,false
47,60.0984,1099926245935,784332,wdsra.wam,22,46.8306,28.0984,3,0.8,16,ok,3,0.8,16,ok,11,11,Common,false,false,false
48,59.659,1099925535318,783747,opxp4.c.wam,13,66.0984,39.659,4,0.5,10,ok,4,0.5,10,ok,7,7,Ultra Rare,false,false,false
49,59.659,1099925547357,783757,nsdbk.wam,15,66.0984,39.659,4,0.5,10,ok,4,0.5,10,ok,7,7,Rare,false,false,false
50,59.659,1099925547363,783755,nsdbk.wam,14,66.0984,39.659,4,0.5,10,ok,4,0.5,10,ok,7,7,Ultra Rare,false,false,false
51,59.626,1099925515518,783764,nshstsnyasha,18,61.2814,36.7688,4,0.571429,11.4286,ok,4,0.571429,11.4286,ok,8,8,Uncommon,false,false,false
52,59.626,1099925517821,783760,bullishasfuk,17,61.2814,36.7688,4,0.571429,11.4286,ok,4,0.571429,11.4286,ok,8,8,Uncommon,false,false,false
53,59.626,1099925517848,783759,opxp4.c.wam,16,61.2814,36.7688,4,0.571429,11.4286,ok,4,0.571429,11.4286,ok,8,8,Rare,false,false,false
54,59.2398,1099921696301,775999,,25,39.4737,23.6842,2,0.888889,17.7778,ok,2,0.888889,17.7778,ok,10,10,Common,false,false,false
55,58.8788,1099926312349,784344,bullishasfuk,19,56.4646,33.8788,4,0.625,12.5,ok,4,0.625,12.5,ok,9,9,Uncommon,false,false,false
56,57.9354,1099925390538,783470,bsyru.wam,24,42.0137,25.2082,3,0.818182,16.3636,ok,3,0.818182,16.3636,ok,12,12,Common,false,false,false
57,57.9354,1099925393051,783468,txyqw.wam,23,42.0137,25.2082,3,0.818182,16.3636,ok,3,0.818182,16.3636,ok,12,12,Common,false,false,false
58,57.6552,1099926348268,784340,i5d52.c.wam,20,51.6476,30.9886,4,0.666667,13.3333,ok,4,0.666667,13.3333,ok,10,10,Uncommon,false,false,false
59,56.579,1099921725298,776074,bullishasfuk,26,27.6316,16.579,1,1,20,ok,1,1,20,ok,13,13,Common,false,false,false
60,56.0984,1099921695293,775997,,21,46.8306,28.0984,4,0.7,14,ok,4,0.7,14,ok,11,11,Uncommon,false,false,false
61,56.0984,1099926348280,784332,i5d52.c.wam,22,46.8306,28.0984,4,0.7,14,ok,4,0.7,14,ok,11,11,Common,false,false,false
62,54.7954,1099921696302,775999,,25,39.4737,23.6842,3,0.777778,15.5556,ok,3,0.777778,15.5556,ok,10,10,Common,false,false,false
63,54.2992,1099925395413,783468,ve22q.c.wam,23,42.0137,25.2082,4,0.727273,14.5455,ok,4,0.727273,14.5455,ok,12,12,Common,false,false,false
64,54.2992,1099925417359,783470,ijqrk.wam,24,42.0137,25.2082,4,0.727273,14.5455,ok,4,0.727273,14.5455,ok,12,12,Common,false,false,false
