trait_type,trait,template_count,exposure_supply,template_ids
rarity,⚡️⚡️⚡️ Bitcoin Batboy 🦇,1,1,784220
rarity,ROCKIN HOR$£ $HIT,1,1,776005
rarity,✨ ROCKIN HORSE INFINITY SHIT SHOW ⚡️⚡️⚡️,2,2,"776007,776055"
rarity,👉 LONDONZ WHITE TRASH 👑👈,2,2,"776000,776001"
rarity,ROCKIN HORSE INFINITY 👑,2,2,"776003,776100"
rarity,ROCKIN HORSE INFINITY SHIT SHOW ⚡️⚡️⚡️,4,4,"776002,776101,776102,776103"
rarity,#ALLCITYBUYS ⚡️⚡️⚡️,1,7,783747
rarity,Abyssal Leviathan ☠️,1,7,783757
rarity,THΞ ₿LØ℃K$TΔR̸$ 🌈,1,7,783755
rarity,BTC TITAN ☠️,1,8,783760
rarity,Dreadnought Desolator 🍩,1,8,783764
rarity,Shadow Seraph 🤖,1,8,783759
rarity,Bitcoinker of Chaos 👀,1,9,784344
rarity,LONDONZ WHITE TRASH 👑👈,1,10,775999
rarity,Uniswap Undefeatable 👀,1,10,784340
rarity,⚡️⚡️⚡️ Crypto Knight Coin Crusher ☠️,1,11,784332
rarity,LONDONZ WHITE TRASH,1,11,775997
rarity,Cyber Shinobi ⚡️⚡️⚡️,1,12,783470
rarity,Emperor&#x27;s Elite ⚡️⚡️⚡️,1,12,783468
rarity,$HIT $HOW ⚡️⚡️⚡️,1,13,776074
rarity,ROCKIN HORSE INFINITY SHIT,1,20,773225
variation,👑 GKniftyHEADS ⚡️⚡️⚡️,1,1,776003
variation,🚀 GKniftyHEADS ⚡️⚡️⚡️,1,1,776005
variation,Blockchain Bat 🦇,1,1,784220
variation,GKniftyHEADS ⚡️⚡️⚡️,1,1,776002
variation,✨ GKniftyHEADS ⚡️⚡️⚡️,2,2,"776007,776055"
variation,👉 VANDALS ⚡️⚡️⚡️,5,5,"776000,776001,776101,776102,776103"
variation,Celestial Sentinel 🤖,1,7,783757
variation,Eternal Voidwalker ⚡️⚡️⚡️,1,7,783755
variation,LONDONZ CALLING ⚡️⚡️⚡️,1,7,783747
variation,Astral Ascendant 🤖,1,8,783760
variation,Doughnut 🍩 Conqueror 🤖,1,8,783764
variation,Frostfire Elemental ⚡️⚡️⚡️,1,8,783759
variation,Pancake Prankster ⚡️⚡️⚡️,1,9,784344
variation,Coin Ravager ⚡️⚡️⚡️,1,10,784340
variation,Satoshi Savior ⚡️⚡️⚡️,1,11,784332
variation,VANDALS,1,11,775997
variation,NO BALL GAMES ⚡️⚡️⚡️,1,12,783470
variation,NOT GOING OUT LIKE OBI-WAN,1,12,783468
variation,GKniftyHEADS,1,20,773225
variation,VANDALS ⚡️⚡️⚡️,3,24,"775999,776074,776100"
