rank,template_id,title,rarity_band,issued_supply,live_supply,max_supply,final_score
1,118124,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,94.9898
2,154818,MAX SUPPLY,Legendary,1,1,1,94.9898
3,147313,₿iT℃✪iИ P£P£,Legendary,1,1,1,93.0117
4,147317,₿iT℃✪iИ P£P£,Legendary,1,1,1,93.0117
5,147318,₿iT℃✪iИ P£P£,Legendary,1,1,1,93.0117
6,171724,₿iT℃✪iИ P£P£,Legendary,1,1,1,93.0117
7,210764,₿iT℃✪iИ P£P£,Legendary,1,1,1,93.0117
8,154807,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,75
9,154811,THΞ ℃R̸ŸⓟT✪ ₿✿NE$,Legendary,1,1,1,75
10,154814,₿✿N£$,Legendary,1,1,1,75
11,154790,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,74.7182
12,179866,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
13,179869,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
14,179871,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
15,179916,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
16,179917,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
17,179918,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
18,182032,	THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
19,197551,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
20,197605,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
21,200310,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
22,208202,THΞ ℃R̸ŸⓟT✪ BULL,Legendary,1,1,1,74.4984
23,241723,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
24,243486,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
25,246329,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
26,247215,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
27,248023,	THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
28,248955,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
29,249887,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
30,255182,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
31,259746,	THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
32,285941,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
33,286001,	THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
34,286004,	THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
35,286347,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
36,287268,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
37,288955,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
38,289614,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
39,289977,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
40,290112,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
41,290118,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
42,290120,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
43,290123,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
44,290126,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
45,290128,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
46,290130,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
47,290131,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
48,290132,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
49,290134,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
50,290135,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
51,290145,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
52,290148,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
53,290150,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
54,290151,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
55,290153,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
56,290154,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
57,290156,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
58,290159,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
59,290160,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
60,290162,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
61,290164,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
62,290165,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
63,290166,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
64,290167,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
65,290168,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
66,290169,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
67,290170,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
68,290172,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
69,290173,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
70,290174,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
71,290175,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
72,339801,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
73,361809,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
74,456618,THΞ HØÐL WΔRRIØR̸$ CLUB,Legendary,1,1,1,74.4984
75,111413,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
76,111417,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
77,111429,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
78,111433,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
79,111434,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
80,111435,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
81,111436,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
82,111437,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
83,111438,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
84,111440,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
85,111447,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
86,111448,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
87,111449,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
88,111450,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
89,111451,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
90,111452,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
91,111454,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
92,111455,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
93,111456,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
94,111457,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
95,111458,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
96,111460,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
97,111461,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
98,111923,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
99,111924,THΞ ℃R̸ŸⓟT✪ MØØИ₿✿Ÿ$,Legendary,1,1,1,73.0219
