asset_rank,asset_final_score,asset_id,template_id,owner,template_rank,template_final_score,template_score_component,original_mint_number,original_mint_score,original_mint_score_component,original_mint_status,surviving_mint_rank,surviving_mint_rank_score,surviving_mint_rank_score_component,surviving_mint_rank_status,live_supply,issued_supply,rarity_band,burned,price_used,market_data_used
1,96.5108,1099595898015,401767,pepperstake,1,94.1847,56.5108,1,1,20,ok,1,1,20,ok,13,13,Ultra Rare,false,false,false
2,96.3679,1099595902155,401779,pepperstake,2,93.9465,56.3679,1,1,20,ok,1,1,20,ok,18,18,Rare,false,false,false
3,96.0534,1099595905079,401786,pepperstake,3,93.4223,56.0534,1,1,20,ok,1,1,20,ok,29,21,Rare,false,false,false
4,94.6248,1099595905080,401786,yoitscharlie,3,93.4223,56.0534,2,0.964286,19.2857,ok,2,0.964286,19.2857,ok,29,21,Rare,false,false,false
5,94.0149,1099595902156,401779,yoitscharlie,2,93.9465,56.3679,2,0.941176,18.8235,ok,2,0.941176,18.8235,ok,18,18,Rare,false,false,false
6,93.1962,1099595905081,401786,opxp4.c.wam,3,93.4223,56.0534,3,0.928571,18.5714,ok,3,0.928571,18.5714,ok,29,21,Rare,false,false,false
7,93.1774,1099595898016,401767,yoitscharlie,1,94.1847,56.5108,2,0.916667,18.3333,ok,2,0.916667,18.3333,ok,13,13,Ultra Rare,false,false,false
8,91.7676,1099595905082,401786,xsph.wam,3,93.4223,56.0534,4,0.892857,17.8571,ok,4,0.892857,17.8571,ok,29,21,Rare,false,false,false
9,91.6621,1099595902157,401779,xsph.wam,2,93.9465,56.3679,3,0.882353,17.6471,ok,3,0.882353,17.6471,ok,18,18,Rare,false,false,false
10,90.3392,1099595905083,401786,yoitscharlie,3,93.4223,56.0534,5,0.857143,17.1429,ok,5,0.857143,17.1429,ok,29,21,Rare,false,false,false
11,89.8442,1099595898017,401767,xsph.wam,1,94.1847,56.5108,3,0.833333,16.6667,ok,3,0.833333,16.6667,ok,13,13,Ultra Rare,false,false,false
12,89.3091,1099595902158,401779,opxp4.c.wam,2,93.9465,56.3679,4,0.823529,16.4706,ok,4,0.823529,16.4706,ok,18,18,Rare,false,false,false
13,88.9106,1099595905084,401786,,3,93.4223,56.0534,6,0.821429,16.4286,ok,6,0.821429,16.4286,ok,29,21,Rare,false,false,false
14,87.482,1099595905085,401786,yoitscharlie,3,93.4223,56.0534,7,0.785714,15.7143,ok,7,0.785714,15.7143,ok,29,21,Rare,false,false,false
15,86.9561,1099595902159,401779,yoitscharlie,2,93.9465,56.3679,5,0.764706,15.2941,ok,5,0.764706,15.2941,ok,18,18,Rare,false,false,false
16,86.5108,1099595898018,401767,opxp4.c.wam,1,94.1847,56.5108,4,0.75,15,ok,4,0.75,15,ok,13,13,Ultra Rare,false,false,false
17,86.0534,1099595905086,401786,qp..w.c.wam,3,93.4223,56.0534,8,0.75,15,ok,8,0.75,15,ok,29,21,Rare,false,false,false
18,84.6248,1099595905087,401786,yoitscharlie,3,93.4223,56.0534,9,0.714286,14.2857,ok,9,0.714286,14.2857,ok,29,21,Rare,false,false,false
19,84.6031,1099595902160,401779,,2,93.9465,56.3679,6,0.705882,14.1176,ok,6,0.705882,14.1176,ok,18,18,Rare,false,false,false
20,83.5991,1099675841570,458168,5fsuc.wam,4,72.6652,43.5991,1,1,20,ok,1,1,20,ok,50,39,Rare,false,false,false
21,83.1962,1099595905088,401786,yoitscharlie,3,93.4223,56.0534,10,0.678571,13.5714,ok,10,0.678571,13.5714,ok,29,21,Rare,false,false,false
22,83.1774,1099595898019,401767,pepperstake,1,94.1847,56.5108,5,0.666667,13.3333,ok,5,0.666667,13.3333,ok,13,13,Ultra Rare,false,false,false
23,82.7827,1099675855334,458168,newyork.gm,4,72.6652,43.5991,2,0.979592,19.5918,ok,2,0.979592,19.5918,ok,50,39,Rare,false,false,false
24,82.4841,1099667784750,453934,pepperstake,5,70.8069,42.4841,1,1,20,ok,1,1,20,ok,89,89,Uncommon,false,false,false
25,82.2503,1099595902161,401779,yoitscharlie,2,93.9465,56.3679,7,0.647059,12.9412,ok,7,0.647059,12.9412,ok,18,18,Rare,false,false,false
26,82.0295,1099667784751,453934,yoitscharlie,5,70.8069,42.4841,2,0.988636,19.7727,ok,2,0.988636,19.7727,ok,89,89,Uncommon,false,false,false
27,81.9665,1099675862694,458168,ve41k.c.wam,4,72.6652,43.5991,3,0.959184,19.1837,ok,3,0.959184,19.1837,ok,50,39,Rare,false,false,false
28,81.7676,1099595905089,401786,neyau.wam,3,93.4223,56.0534,11,0.642857,12.8571,ok,11,0.642857,12.8571,ok,29,21,Rare,false,false,false
29,81.5751,1099667784752,453934,yoitscharlie,5,70.8069,42.4841,3,0.977273,19.5455,ok,3,0.977273,19.5455,ok,89,89,Uncommon,false,false,false
30,81.1501,1099675865586,458168,2pvrq.wam,4,72.6652,43.5991,4,0.938776,18.7755,ok,4,0.938776,18.7755,ok,50,39,Rare,false,false,false
31,81.1205,1099667784753,453934,yoitscharlie,5,70.8069,42.4841,4,0.965909,19.3182,ok,4,0.965909,19.3182,ok,89,89,Uncommon,false,false,false
32,80.9117,1099659329449,449935,newyork.gm,6,68.1861,40.9117,1,1,20,ok,1,1,20,ok,144,144,Uncommon,false,false,false
33,80.6659,1099667784754,453934,yoitscharlie,5,70.8069,42.4841,5,0.954545,19.0909,ok,5,0.954545,19.0909,ok,89,89,Uncommon,false,false,false
34,80.6319,1099659329450,449935,yoitscharlie,6,68.1861,40.9117,2,0.993007,19.8601,ok,2,0.993007,19.8601,ok,144,144,Uncommon,false,false,false
35,80.3523,1099659329451,449935,yoitscharlie,6,68.1861,40.9117,3,0.986014,19.7203,ok,3,0.986014,19.7203,ok,144,144,Uncommon,false,false,false
36,80.3392,1099595905090,401786,yoitscharlie,3,93.4223,56.0534,12,0.607143,12.1429,ok,12,0.607143,12.1429,ok,29,21,Rare,false,false,false
37,80.3337,1099675898853,458168,pepperstake,4,72.6652,43.5991,5,0.918367,18.3673,ok,5,0.918367,18.3673,ok,50,39,Rare,false,false,false
