asset_rank,asset_final_score,asset_id,template_id,original_mint_number,surviving_mint_rank,template_final_score
1,96.4771,1099595898015,401767,1,1,94.1285
2,96.3191,1099595902155,401779,1,1,93.8651
3,96.2243,1099595905079,401786,1,1,93.7071
4,94.2243,1099595905080,401786,2,2,93.7071
5,93.9661,1099595902156,401779,2,2,93.8651
6,93.1437,1099595898016,401767,2,2,94.1285
7,92.2243,1099595905081,401786,3,3,93.7071
8,91.6133,1099595902157,401779,3,3,93.8651
9,90.2243,1099595905082,401786,4,4,93.7071
10,89.8105,1099595898017,401767,3,3,94.1285
11,89.2603,1099595902158,401779,4,4,93.8651
12,88.2243,1099595905083,401786,5,5,93.7071
13,86.9073,1099595902159,401779,5,5,93.8651
14,86.4771,1099595898018,401767,4,4,94.1285
15,86.2243,1099595905084,401786,6,6,93.7071
16,84.5543,1099595902160,401779,6,6,93.8651
17,84.2243,1099595905085,401786,7,7,93.7071
18,83.7992,1099675841570,458168,1,1,72.9986
19,83.1437,1099595898019,401767,5,5,94.1285
20,82.7466,1099675855334,458168,2,2,72.9986
21,82.2243,1099595905086,401786,8,8,93.7071
22,82.2191,1099667784750,453934,1,1,70.3652
23,82.2015,1099595902161,401779,7,7,93.8651
24,81.7645,1099667784751,453934,2,2,70.3652
25,81.694,1099675862694,458168,3,3,72.9986
26,81.3101,1099667784752,453934,3,3,70.3652
27,80.8555,1099667784753,453934,4,4,70.3652
28,80.6414,1099675865586,458168,4,4,72.9986
29,80.481,1099642207718,441677,1,1,67.4684
30,80.481,1099659329449,449935,1,1,67.4684
31,80.4179,1099651222519,445272,1,1,67.3631
32,80.4009,1099667784754,453934,5,5,70.3652
33,80.2243,1099595905087,401786,9,9,93.7071
34,80.2012,1099642207719,441677,2,2,67.4684
35,80.2012,1099659329450,449935,2,2,67.4684
36,80.1421,1099651222520,445272,2,2,67.3631
37,79.9463,1099667784755,453934,6,6,70.3652
38,79.9216,1099642207720,441677,3,3,67.4684
39,79.9216,1099659329451,449935,3,3,67.4684
40,79.8661,1099651222521,445272,3,3,67.3631
41,79.8485,1099595902162,401779,8,8,93.8651
42,79.8105,1099595898020,401767,6,6,94.1285
43,79.6418,1099642207721,441677,4,4,67.4684
44,79.6418,1099659329452,449935,4,4,67.4684
45,79.5903,1099651222522,445272,4,4,67.3631
46,79.5886,1099675898853,458168,5,5,72.9986
47,79.4919,1099667784756,453934,7,7,70.3652
48,79.3622,1099642207722,441677,5,5,67.4684
49,79.3622,1099659329453,449935,5,5,67.4684
50,79.3145,1099651222523,445272,5,5,67.3631
51,79.0824,1099642207723,441677,6,6,67.4684
52,79.0824,1099659329454,449935,6,6,67.4684
53,79.0385,1099651222524,445272,6,6,67.3631
54,79.0373,1099667784757,453934,8,8,70.3652
55,78.8026,1099642207724,441677,7,7,67.4684
56,78.8026,1099659329455,449935,7,7,67.4684
57,78.7627,1099651222525,445272,7,7,67.3631
58,78.5827,1099667784758,453934,9,9,70.3652
59,78.536,1099675899743,458168,6,6,72.9986
