rank,template_id,title,rarity_band,issued_supply,live_supply,max_supply
1,401767,C B Twoheadz,Ultra Rare,13,13,13
2,401779,‘’The Radiant Child’’,Rare,18,18,21
3,401786,‘’Pluto To Las Vegas’’,Rare,21,21,34
4,458168,DOWNTOWN 55,Rare,39,39,55
5,453934,OPEN YOUR EYES,Uncommon,89,89,89
6,441677,"""Have FAITH in 377""",Uncommon,144,144,377
7,449935,THE LOST SOUL's,Uncommon,144,144,144
8,445272,"""Beauty and the Beast""",Uncommon,146,146,233
9,438904,"""Buster's A Stoned Boy""",Common,420,420,420
10,435457,"""Uncle Albert""",Common,454,454,610
11,401910,‘’Daddy’s Little Princess’’,Common,1399,1399,5000
12,401911,Charlie Buster x Graffiti Kings - The OG,Common,1425,1425,5000
